resource_code,source_path,original_id,new_id,target_file,target_section_id,fallback
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1168466205229,PREALG-KhrS6XYtxh,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1168466234219,PREALG-aAP85KBSO6,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1168467172609,PREALG-ViCN23A6am,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1168467203804,PREALG-4vyLi6cWar,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1168467260736,PREALG-MpEdCWc7R4,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1168468231398,PREALG-TDHBOJwHtX,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1168469481185,PREALG-CFMdKZXACS,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1169719335206,PREALG-sGnmAuq1Rj,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1170103215272,PREALG-QUoZWvHjj7,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1170470441601,PREALG-CJQN0JiDCK,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-primary-prealg-m81308,table
