original_id,new_id,node_type,node_title,source_path
orcca,ORCCAAnFMUrVenl,book,Open Resources for Community College Algebra,orcca.ptx
frontmatter,ORCCAZHDeKaRcNq,frontmatter,Frontmatter,frontmatter.ptx
,ORCCAnOgqhWMZd5,acknowledgement,Acknowledgement,frontmatter.ptx
preface-to-all,ORCCAxRKRw7XoK1,preface,To All,frontmatter.ptx
,ORCCA6yjljn8oBJ,paragraphs,"HTML, PDF, and print",frontmatter.ptx
,ORCCAomq86g8Rc8,paragraphs,Copying Content,frontmatter.ptx
,ORCCAqCrQgIaTEt,paragraphs,Accessibility,frontmatter.ptx
,ORCCAirdn3PI5jK,paragraphs,Tablets and Smartphones,frontmatter.ptx
,ORCCAJcNWqXGOz4,paragraphs,for Online Homework,frontmatter.ptx
,ORCCAneoqQxoERA,paragraphs,Odd Answers,frontmatter.ptx
,ORCCAfCQb3FTXQ1,paragraphs,Interactive and Static Examples,frontmatter.ptx
,ORCCAcGHBJjGrS3,paragraphs,Reading Questions,frontmatter.ptx
,ORCCAsISHgVnLy3,paragraphs,Alternative Video Lessons,frontmatter.ptx
part-linear-equations-and-lines,ORCCA1iDVJ49ncn,part,Linear Equations and Lines,orcca.ptx
chapter-variables-expressions-equations-and-inequalities,ORCCA3jwFP72RXL,chapter,"Variables, Expressions, Equations, and Inequalities",chapter-variables-expressions-equations-and-inequalities.ptx
,ORCCAGJ6nzq6OUA,introduction,Introduction,chapter-variables-expressions-equations-and-inequalities.ptx
section-variables-and-evaluating-expressions,ORCCAktdhZHIlkt,section,Variables and Evaluating Expressions,section-variables-and-evaluating-expressions.ptx
,ORCCAPAVSnz5Ymk,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCAkofZRw0ZHU,subsection,Introduction to Variables,section-variables-and-evaluating-expressions.ptx
,ORCCA2VwfGAy8lx,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCAfMrJZ2VNwx,subsection,Algebraic Expressions,section-variables-and-evaluating-expressions.ptx
,ORCCAbYy8XZr74u,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCANrVCuJXHqv,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCAMEaicOofyo,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCARufAXcVDsg,subsection,"Evaluating Expressions with Exponents, Absolute Value, and Radicals",section-variables-and-evaluating-expressions.ptx
,ORCCAT53X8iGmk2,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
subsection-evaluating-expressions-with-negative-numbers,ORCCACoJ0F9rl0I,subsection,Evaluating Expressions with Negative Numbers,section-variables-and-evaluating-expressions.ptx
,ORCCAZGsgLyP0yh,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCAZQwbyDjF7H,exercises,,section-variables-and-evaluating-expressions.ptx
,ORCCAtkfyDcWIhg,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCAkuY7E401Sk,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCAVTGYrAxzcY,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCAjjTS4OywPw,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCAKIQG5oaYdw,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCAq4LevWAnLU,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCAvglzBdj6pK,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCAXxIl1qqca5,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
