document_order,depth,node_type,node_id,original_id,node_title,source_path,level_1_type,level_1_id,level_1_title,level_2_type,level_2_id,level_2_title,level_3_type,level_3_id,level_3_title,level_4_type,level_4_id,level_4_title,level_5_type,level_5_id,level_5_title,level_6_type,level_6_id,level_6_title,level_7_type,level_7_id,level_7_title
1,1,book,ORCCAAnFMUrVenl,orcca,Open Resources for Community College Algebra,orcca.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,,,,,,,,,,,,,,,,,,
2,2,frontmatter,ORCCAZHDeKaRcNq,frontmatter,Frontmatter,frontmatter.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,frontmatter,ORCCAZHDeKaRcNq,Frontmatter,,,,,,,,,,,,,,,
3,3,acknowledgement,ORCCAnOgqhWMZd5,,Acknowledgement,frontmatter.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,frontmatter,ORCCAZHDeKaRcNq,Frontmatter,acknowledgement,ORCCAnOgqhWMZd5,Acknowledgement,,,,,,,,,,,,
4,3,preface,ORCCAxRKRw7XoK1,preface-to-all,To All,frontmatter.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,frontmatter,ORCCAZHDeKaRcNq,Frontmatter,preface,ORCCAxRKRw7XoK1,To All,,,,,,,,,,,,
5,4,paragraphs,ORCCA6yjljn8oBJ,,"HTML, PDF, and print",frontmatter.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,frontmatter,ORCCAZHDeKaRcNq,Frontmatter,preface,ORCCAxRKRw7XoK1,To All,paragraphs,ORCCA6yjljn8oBJ,"HTML, PDF, and print",,,,,,,,,
6,4,paragraphs,ORCCAomq86g8Rc8,,Copying Content,frontmatter.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,frontmatter,ORCCAZHDeKaRcNq,Frontmatter,preface,ORCCAxRKRw7XoK1,To All,paragraphs,ORCCAomq86g8Rc8,Copying Content,,,,,,,,,
7,4,paragraphs,ORCCAqCrQgIaTEt,,Accessibility,frontmatter.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,frontmatter,ORCCAZHDeKaRcNq,Frontmatter,preface,ORCCAxRKRw7XoK1,To All,paragraphs,ORCCAqCrQgIaTEt,Accessibility,,,,,,,,,
8,4,paragraphs,ORCCAirdn3PI5jK,,Tablets and Smartphones,frontmatter.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,frontmatter,ORCCAZHDeKaRcNq,Frontmatter,preface,ORCCAxRKRw7XoK1,To All,paragraphs,ORCCAirdn3PI5jK,Tablets and Smartphones,,,,,,,,,
9,4,paragraphs,ORCCAJcNWqXGOz4,,for Online Homework,frontmatter.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,frontmatter,ORCCAZHDeKaRcNq,Frontmatter,preface,ORCCAxRKRw7XoK1,To All,paragraphs,ORCCAJcNWqXGOz4,for Online Homework,,,,,,,,,
10,4,paragraphs,ORCCAneoqQxoERA,,Odd Answers,frontmatter.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,frontmatter,ORCCAZHDeKaRcNq,Frontmatter,preface,ORCCAxRKRw7XoK1,To All,paragraphs,ORCCAneoqQxoERA,Odd Answers,,,,,,,,,
11,4,paragraphs,ORCCAfCQb3FTXQ1,,Interactive and Static Examples,frontmatter.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,frontmatter,ORCCAZHDeKaRcNq,Frontmatter,preface,ORCCAxRKRw7XoK1,To All,paragraphs,ORCCAfCQb3FTXQ1,Interactive and Static Examples,,,,,,,,,
12,4,paragraphs,ORCCAcGHBJjGrS3,,Reading Questions,frontmatter.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,frontmatter,ORCCAZHDeKaRcNq,Frontmatter,preface,ORCCAxRKRw7XoK1,To All,paragraphs,ORCCAcGHBJjGrS3,Reading Questions,,,,,,,,,
13,4,paragraphs,ORCCAsISHgVnLy3,,Alternative Video Lessons,frontmatter.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,frontmatter,ORCCAZHDeKaRcNq,Frontmatter,preface,ORCCAxRKRw7XoK1,To All,paragraphs,ORCCAsISHgVnLy3,Alternative Video Lessons,,,,,,,,,
