collection_title,chapter_order,chapter_title,subcollection_path,module_order,module_id,module_title,row_type,section_order,section_level,section_id,section_title,source_path
precalculus-2e,,,,1,m50919,Preface,module,,,,,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,1,2,eip-29,About OpenStax,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,2,2,eip-714,About OpenStax Resources,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,3,3,fs-id6329471,Customization,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,4,3,sect-00001,Art attribution,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,5,3,eip-318,Errata,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,6,3,eip-788,Format,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,7,2,eip-626,About Precalculus 2e,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,8,3,eip-250,Coverage and Scope,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,9,3,eip-350,Development Overview,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,10,3,eip-42,Accuracy of the Content,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,11,3,sect-00002,Changes to the Second Edition,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,12,2,eip-563,Pedagogical Foundations and Features,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,13,3,eip-61,Learning Objectives,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,14,3,eip-719,Narrative Text,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,15,3,eip-802,Examples,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,16,3,eip-236,Figures,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,17,3,eip-22,Supporting Features,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,18,3,eip-166,Section Exercises,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,19,3,eip-82,Chapter Review Features,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,20,2,sect-00004,Answers to Questions in the Book,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,21,1,eip-299,Additional Resources,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,22,2,eip-827,Student and Instructor Resources,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,23,2,eip-924,Community Hubs,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,24,2,sect-00003,Technology partners,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,25,1,fs-id1166812582991,About the Authors,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,26,2,eip-679,Senior Contributing Author,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,27,2,eip-528,Contributing Authors,PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,28,2,eip-956,Faculty Reviewers and Consultants,PRECALC/modules/m50919/index.cnxml
precalculus-2e,1,Functions,Functions,1,m49299,Introduction to Functions,module,,,,,PRECALC/modules/m49299/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,module,,,,,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,1,1,fs-id1165133394710,Determining Whether a Relation Represents a Function,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,2,2,fs-id1165134474160,Using Function Notation,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,3,2,fs-id1165137804204,Representing Functions Using Tables,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,4,1,fs-id1165137503241,Finding Input and Output Values of a Function,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,5,2,fs-id1165137425943,Evaluation of Functions in Algebraic Forms,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,6,2,fs-id1165137591827,Evaluating Functions Expressed in Formulas,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,7,2,fs-id1165137648450,Evaluating a Function Given in Tabular Form,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,8,2,fs-id1165135696152,Finding Function Values from a Graph,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,9,1,fs-id1165135422920,Determining Whether a Function is One-to-One,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,10,1,fs-id1165135435781,Using the Vertical Line Test,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,11,1,fs-id1165137610952,Using the Horizontal Line Test,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,12,1,fs-id1165135545919,Identifying Basic Toolkit Functions,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,13,1,fs-id1165135203679,Key Equations,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,14,1,fs-id1165137692068,Key Concepts,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,15,1,fs-id1165137737761,Section Exercises,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,16,2,fs-id1165137432988,Verbal,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,17,2,fs-id1165134080937,Algebraic,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,18,2,fs-id1165135664071,Graphical,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,19,2,fs-id1165135342204,Numeric,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,20,2,fs-id1165134373511,Technology,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,2,m49301,Functions and Function Notation,section,21,2,fs-id1165135580349,Real-World Applications,PRECALC/modules/m49301/index.cnxml
precalculus-2e,1,Functions,Functions,3,m49304,Domain and Range,module,,,,,PRECALC/modules/m49304/index.cnxml
precalculus-2e,1,Functions,Functions,3,m49304,Domain and Range,section,1,1,fs-id1165135193832,Finding the Domain of a Function Defined by an Equation,PRECALC/modules/m49304/index.cnxml
precalculus-2e,1,Functions,Functions,3,m49304,Domain and Range,section,2,1,fs-id1165137677916,Using Notations to Specify Domain and Range,PRECALC/modules/m49304/index.cnxml
precalculus-2e,1,Functions,Functions,3,m49304,Domain and Range,section,3,1,fs-id1165137653855,Finding Domain and Range from Graphs,PRECALC/modules/m49304/index.cnxml
precalculus-2e,1,Functions,Functions,3,m49304,Domain and Range,section,4,1,fs-id1165134384565,Finding Domains and Ranges of the Toolkit Functions,PRECALC/modules/m49304/index.cnxml
precalculus-2e,1,Functions,Functions,3,m49304,Domain and Range,section,5,1,fs-id1165135440477,Graphing Piecewise-Defined Functions,PRECALC/modules/m49304/index.cnxml
precalculus-2e,1,Functions,Functions,3,m49304,Domain and Range,section,6,1,fs-id1165134077347,Key Concepts,PRECALC/modules/m49304/index.cnxml
precalculus-2e,1,Functions,Functions,3,m49304,Domain and Range,section,7,1,fs-id1165135176628,Section Exercises,PRECALC/modules/m49304/index.cnxml
precalculus-2e,1,Functions,Functions,3,m49304,Domain and Range,section,8,2,fs-id1165135172218,Verbal,PRECALC/modules/m49304/index.cnxml
